config,question,answer,contexts,latency,faithfulness,answer_relevancy,context_precision
Config 1 - Naive,How do I turn off auto-renew for my domain?,"According to the context provided:

If you can't turn off auto-renew for a domain, it's possible that the domain status is pending updates. Domains must be in active status before you can change the auto-renew setting.

To turn off auto-renew for your domain, you would need to contact GoDaddy Guides for help. They can assist you in determining if your domain is eligible for turning off auto-renew, and guide you through the process.

The context does not provide detailed instructions on how to turn off auto-renew yourself. It suggests contacting customer support for assistance with this task.","Related step
If you change your mind, you can
manually renew your product
.
More info
If you can't turn off auto-renew for a domain, it's possible that the domain status is pending updates. Domains must be in active status before you can change the auto-renew setting.
To find out if you're eligible for a refund, contact
our GoDaddy Guides
for help.
Here's our
refund policy
.
Share this article ||| Manually or automatically pay for your subscriptions
Turn off auto-renew
Turn on auto-renew
Manually renew my products or services
Manage my billing information
Add, change and update your payment methods and view your receipts
Add a payment method to my GoDaddy account
Change my subscription payment method
Change my credit card expiration date or billing address
Delete a payment method
View my GoDaddy receipts
Contact customer support ||| Confirm Cancel
to turn off auto-renew for that subscription.
Note:
If you’re canceling a domain with
Domain Protection
, we'll need to verify your identity. Select
Yes, Delete this product
, then select
Verify and delete
. We'll send a verification code via SMS text message or authenticator app if you've had
2-step verification
(2SV) enabled in your account for more than 24 hours. Otherwise, select
Send Password
to send a
one-time password
to the email address on your GoDaddy account.",1.63,0.8,0.8,0.833
Config 2 - Optimized,How do I turn off auto-renew for my domain?,"Based on the provided context, here are the steps to turn off auto-renew for a domain subscription:

1. Go to your Renewals and Billing page and select Manage Subscriptions.

2. Select the domain product you want to turn off auto-renew for.

3. Select Turn off Auto-Renew.

4. Select a reason for cancelling the auto-renewal and then select Continue to Cancel.

5. Review the confirmation details, which will show the date your subscription will be cancelled. Select Confirm Cancel.

The context indicates that if you are cancelling a domain with Domain Protection, you'll need to verify your identity by entering a verification code sent via SMS or authenticator app, or by entering a one-time password sent to your account email.

Let me know if you need any clarification or have additional questions!","Select
Confirm Cancel
to turn off auto-renew for that subscription.
Note:
If you’re canceling a domain with
Domain Protection
, we'll need to verify your identity. Select
Yes, Delete this product
, then select
Verify and delete
. We'll send a verification code via SMS text message or authenticator app if you've had
2-step verification
(2SV) enabled in your account for more than 24 hours. Otherwise, select
Send Password
to send a
one-time password
to the email address on your GoDaddy account.
Related step
If you change your mind, you can
manually renew your product
.
More info
If you can't turn off auto-renew for a domain, it's possible that the domain status is pending updates. Domains must be in active status before you can change the auto-renew setting.
To find out if you're eligible for a refund, contact
our GoDaddy Guides
for help.
Here's our
refund policy
.
Share this article ||| Applies to:
SSL Certificates
,
Account Management
GoDaddy
Help
Turn off auto-renew
Turn off auto-renew and cancel subscriptions for your products. When you cancel renewal for a product, your subscription will end and you won’t be charged on the next billing date. If you change your mind, you can
manually renew the product
.
Note:
If you purchased your product through a mobile app store like the Apple App Store or Google Play, you need to
use that mobile app store
to make changes to your subscription.
Go to your
Renewals and Billing
page and select
Manage Subscriptions
.
Select the product and then select
Turn off Auto-Renew
.
From the list, select a reason for cancelling the auto-renewal and then select
Continue to Cancel
.
Below
Confirm your cancellation
we'll show you the date that your subscription will be cancelled. You can keep using the product until that date, and after that date your product and all associated data will be deleted.
Select
Confirm Cancel ||| ,
changing nameservers
and
editing domain contact info
. We'll make sure you're the one making those changes by notifying you and requiring identity verification before the action is completed.
Ultimate Domain Protection
: Rest assured that your domain is safe, even if renewal fails due to an invalid or expired payment method. Ultimate Domain Protection includes all the benefits of Full Domain Protection, and it also helps keep your domains from canceling unexpectedly because of failed billing. We'll hang on to your domain for 90 days if it accidentally expires, so you have time to
renew it manually
with no redemption fees.
Domain Ownership Protection
: Some domains aren't eligible for Domain Privacy, but they may still be eligible for Domain Protection. Domain Ownership Protection has the same coverage as our Ultimate Domain Protection and was created specifically to support these domain extensions.
.au, .com.au, .net.au, .org.au
.be
.ca
.de
.es, .com.es, .nom.es, .org.es
.eu
.fr
.gg ||| turn off Domain Privacy
, which will display
all
domain contact info.
Back to top
Related steps
Set up 2-step verification
for the best security on your domains and account.
Turn on
auto-renew
to continue your domain registration uninterrupted.
More info
If you've decided to invoke
Nominet's WHOIS opt-out policy
, your contact information visibility will be determined by that policy, regardless of what protection level you have through GoDaddy.
Review your
domain contact info
to make sure your details are accurate and up-to-date.
Share this article ||| one-time password
or
a 2-step verification code
.
These domain actions are considered high-risk and will prompt for identity verification.
Delete a domain
Turn off auto-renew
Downgrade or remove Domain Protection
Turn off Domain Privacy
Change domain contact info
Only applies when changing the first name, last name, organization or email address of the registrant contact info.
Add to CashParking
Unlock a domain
Export domain list with authorization codes
Transfer domain to another registrar (away from GoDaddy)
Transfer domain to another GoDaddy account
List a domain for sale via List for Sale
Change nameservers
Add, edit, or delete DNS records
Add, edit, or delete domain or subdomain forwarding
Import DNS zone file
Edit custom hostnames
Apply a DNS template
What is the Activity Log?",1.86,1.0,1.0,0.66
Config 3 - MultiQuery,How do I turn off auto-renew for my domain?,"Based on the provided context, to turn off auto-renew for your domain subscription:

1. Go to your Renewals and Billing page and select Manage Subscriptions.
2. Select the domain subscription you want to cancel auto-renew for.
3. Select Turn off Auto-Renew.
4. Select a reason for cancelling the auto-renewal and then select Continue to Cancel.
5. Confirm the cancellation on the next page.

The context states that if you are cancelling a domain with Domain Protection, you may need to verify your identity by entering a verification code sent to you. The context also notes that if you change your mind, you can manually renew the product later.","Select
Confirm Cancel
to turn off auto-renew for that subscription.
Note:
If you’re canceling a domain with
Domain Protection
, we'll need to verify your identity. Select
Yes, Delete this product
, then select
Verify and delete
. We'll send a verification code via SMS text message or authenticator app if you've had
2-step verification
(2SV) enabled in your account for more than 24 hours. Otherwise, select
Send Password
to send a
one-time password
to the email address on your GoDaddy account.
Related step
If you change your mind, you can
manually renew your product
.
More info
If you can't turn off auto-renew for a domain, it's possible that the domain status is pending updates. Domains must be in active status before you can change the auto-renew setting.
To find out if you're eligible for a refund, contact
our GoDaddy Guides
for help.
Here's our
refund policy
.
Share this article ||| Applies to:
SSL Certificates
,
Account Management
GoDaddy
Help
Turn off auto-renew
Turn off auto-renew and cancel subscriptions for your products. When you cancel renewal for a product, your subscription will end and you won’t be charged on the next billing date. If you change your mind, you can
manually renew the product
.
Note:
If you purchased your product through a mobile app store like the Apple App Store or Google Play, you need to
use that mobile app store
to make changes to your subscription.
Go to your
Renewals and Billing
page and select
Manage Subscriptions
.
Select the product and then select
Turn off Auto-Renew
.
From the list, select a reason for cancelling the auto-renewal and then select
Continue to Cancel
.
Below
Confirm your cancellation
we'll show you the date that your subscription will be cancelled. You can keep using the product until that date, and after that date your product and all associated data will be deleted.
Select
Confirm Cancel ||| ,
changing nameservers
and
editing domain contact info
. We'll make sure you're the one making those changes by notifying you and requiring identity verification before the action is completed.
Ultimate Domain Protection
: Rest assured that your domain is safe, even if renewal fails due to an invalid or expired payment method. Ultimate Domain Protection includes all the benefits of Full Domain Protection, and it also helps keep your domains from canceling unexpectedly because of failed billing. We'll hang on to your domain for 90 days if it accidentally expires, so you have time to
renew it manually
with no redemption fees.
Domain Ownership Protection
: Some domains aren't eligible for Domain Privacy, but they may still be eligible for Domain Protection. Domain Ownership Protection has the same coverage as our Ultimate Domain Protection and was created specifically to support these domain extensions.
.au, .com.au, .net.au, .org.au
.be
.ca
.de
.es, .com.es, .nom.es, .org.es
.eu
.fr
.gg ||| turn off Domain Privacy
, which will display
all
domain contact info.
Back to top
Related steps
Set up 2-step verification
for the best security on your domains and account.
Turn on
auto-renew
to continue your domain registration uninterrupted.
More info
If you've decided to invoke
Nominet's WHOIS opt-out policy
, your contact information visibility will be determined by that policy, regardless of what protection level you have through GoDaddy.
Review your
domain contact info
to make sure your details are accurate and up-to-date.
Share this article ||| one-time password
or
a 2-step verification code
.
These domain actions are considered high-risk and will prompt for identity verification.
Delete a domain
Turn off auto-renew
Downgrade or remove Domain Protection
Turn off Domain Privacy
Change domain contact info
Only applies when changing the first name, last name, organization or email address of the registrant contact info.
Add to CashParking
Unlock a domain
Export domain list with authorization codes
Transfer domain to another registrar (away from GoDaddy)
Transfer domain to another GoDaddy account
List a domain for sale via List for Sale
Change nameservers
Add, edit, or delete DNS records
Add, edit, or delete domain or subdomain forwarding
Import DNS zone file
Edit custom hostnames
Apply a DNS template
What is the Activity Log?",2.36,1.0,1.0,0.72
Config 1 - Naive,How do I cancel a domain transfer?,"Based on the provided context, the steps to cancel a domain transfer are:

1. Select the checkbox next to the domain transfers you want to cancel.
2. Alternatively, you can select the ""Domain"" checkbox and then choose ""Select All"" to cancel all domain transfers.
3. Click the ""Cancel Transfer"" button above the domain list.
4. Confirm the cancellation by clicking ""Cancel Transfer"" again.

If the domain transfer is in progress and being transferred to GoDaddy, the context states that you cannot cancel it through GoDaddy. In that case, you would need to cancel the transfer through the current registrar.

The context provides the necessary information to answer how to cancel a domain transfer. No additional information is needed.","Select the checkbox next to the domain transfers you're canceling. Or, select the checkbox next to
Domain
and then choose
Select All
.
Select
Cancel Transfer
above your domain list.
Note:
Based on the status of your transfer, your view may be slightly different.
Confirm cancellation by selecting
Cancel Transfer
again. If you changed your mind, select
Keep Transfer
You'll see confirmation that your domain transfer was canceled.
Related step
Interested in registering a new domain? ||| Search for the perfect domain
to get started.
More info
After canceling an incoming domain transfer, you might be
eligible for a refund
.
Set up 2-step verification
for the best security on your domains and account.
Share this article ||| Applies to:
Domains
Domains
Help
Cancel my domain transfer
If you no longer want to transfer a domain, you can cancel it in your GoDaddy account. Canceling the domain transfer will keep the domain with your current registrar and doesn't cancel the domain itself.
Note:
Domains transferring to GoDaddy that are
In Progress
can't be canceled through GoDaddy. You'll need to cancel the transfer through the current registrar.
Sign in to your GoDaddy
Transfers Page
. (Need help logging in?",1.48,1.0,1.0,0.833
Config 2 - Optimized,How do I cancel a domain transfer?,"Based on the context provided:

To cancel a domain transfer in your GoDaddy account:

1. Sign in to your GoDaddy account and go to the Transfers page.
2. Look for the ""Transfers In"" tab, which shows domains transferring to your GoDaddy account.
3. Select the checkbox next to the domain transfer(s) you want to cancel.
4. Click the ""Cancel Transfer"" button above the domain list.
5. Confirm the cancellation by clicking ""Cancel Transfer"" again.

The context states that domains ""In Progress"" cannot be canceled through GoDaddy, and you would need to cancel the transfer through the current registrar.","from
your GoDaddy account will show here.
Choose an available tab to view domains in a particular category.
Each tab will group domains into categories, but the status of individual domains may vary.
Select the checkbox next to the domain transfers you're canceling. Or, select the checkbox next to
Domain
and then choose
Select All
.
Select
Cancel Transfer
above your domain list.
Note:
Based on the status of your transfer, your view may be slightly different.
Confirm cancellation by selecting
Cancel Transfer
again. If you changed your mind, select
Keep Transfer
You'll see confirmation that your domain transfer was canceled.
Related step
Interested in registering a new domain?
Search for the perfect domain
to get started.
More info
After canceling an incoming domain transfer, you might be
eligible for a refund
.
Set up 2-step verification
for the best security on your domains and account.
Share this article ||| Applies to:
Domains
Domains
Help
Cancel my domain transfer
If you no longer want to transfer a domain, you can cancel it in your GoDaddy account. Canceling the domain transfer will keep the domain with your current registrar and doesn't cancel the domain itself.
Note:
Domains transferring to GoDaddy that are
In Progress
can't be canceled through GoDaddy. You'll need to cancel the transfer through the current registrar.
Sign in to your GoDaddy
Transfers Page
. (Need help logging in?
Find your username or password
.)
Make sure you have the correct
Transfers
button selected. Search for a specific domain using the search field above your domain list.
Transfers In
: Domains transferring
to
your GoDaddy account will show here.
Transfers Out
: Domains tranferring
from
your GoDaddy account will show here.
Choose an available tab to view domains in a particular category.
Each tab will group domains into categories, but the status of individual domains may vary. ||| Select
Confirm Cancel
to turn off auto-renew for that subscription.
Note:
If you’re canceling a domain with
Domain Protection
, we'll need to verify your identity. Select
Yes, Delete this product
, then select
Verify and delete
. We'll send a verification code via SMS text message or authenticator app if you've had
2-step verification
(2SV) enabled in your account for more than 24 hours. Otherwise, select
Send Password
to send a
one-time password
to the email address on your GoDaddy account.
Related step
If you change your mind, you can
manually renew your product
.
More info
If you can't turn off auto-renew for a domain, it's possible that the domain status is pending updates. Domains must be in active status before you can change the auto-renew setting.
To find out if you're eligible for a refund, contact
our GoDaddy Guides
for help.
Here's our
refund policy
.
Share this article ||| , then select
Ok
.
Review the confirmation message, then select
OK
.
Once the backorder is deleted, you'll be left with a credit that can be used to
backorder another domain
.
Related steps
Domain Broker Service: a buyer's roadmap
More info
Set up domain monitoring
Upgrade my monitored domain to a backorder
Share this article ||| Applies to:
Domains
,
Backorders & Monitoring
GoDaddy
Help
Cancel my domain backorders and monitoring
Note:
GoDaddy is
retiring the backorder and monitoring programs
in 2025. You can use existing backorder credits until they're removed from your account on
October 7, 2025
. Backorder credits
have not been available for purchase
since August 8, 2024.
You may decide a
monitored
or
backordered domain
no longer suits your needs, so you can cancel these services at any time within your account.
Go to your GoDaddy
My Products
page. You might be prompted to sign in.
Select
Domain Products
from your product list and then select
Manage
next to
Domain Backorder
.
Check the box next to the domain you're canceling, then select
Remove Selected
.
Check the box next to
Remove backorders and monitoring
, then select
Ok
.
Review the confirmation message, then select
OK
.
Once the backorder is deleted, you'll be left with a credit that can be used to
backorder another domain
.
Related steps",1.59,1.0,1.0,0.6
Config 3 - MultiQuery,How do I cancel a domain transfer?,"Based on the provided context, here are the steps to cancel a domain transfer:

1. Sign in to your GoDaddy account and go to the Transfers page.

2. Make sure you have the ""Transfers In"" tab selected to view domains transferring to your GoDaddy account.

3. Select the checkbox next to the domain transfer(s) you want to cancel.

4. Click the ""Cancel Transfer"" button above the domain list.

5. Confirm the cancellation by clicking ""Cancel Transfer"" again.

The context indicates that domains ""In Progress"" transferring to GoDaddy cannot be canceled through GoDaddy and will need to be canceled through the current registrar.","from
your GoDaddy account will show here.
Choose an available tab to view domains in a particular category.
Each tab will group domains into categories, but the status of individual domains may vary.
Select the checkbox next to the domain transfers you're canceling. Or, select the checkbox next to
Domain
and then choose
Select All
.
Select
Cancel Transfer
above your domain list.
Note:
Based on the status of your transfer, your view may be slightly different.
Confirm cancellation by selecting
Cancel Transfer
again. If you changed your mind, select
Keep Transfer
You'll see confirmation that your domain transfer was canceled.
Related step
Interested in registering a new domain?
Search for the perfect domain
to get started.
More info
After canceling an incoming domain transfer, you might be
eligible for a refund
.
Set up 2-step verification
for the best security on your domains and account.
Share this article ||| Applies to:
Domains
Domains
Help
Cancel my domain transfer
If you no longer want to transfer a domain, you can cancel it in your GoDaddy account. Canceling the domain transfer will keep the domain with your current registrar and doesn't cancel the domain itself.
Note:
Domains transferring to GoDaddy that are
In Progress
can't be canceled through GoDaddy. You'll need to cancel the transfer through the current registrar.
Sign in to your GoDaddy
Transfers Page
. (Need help logging in?
Find your username or password
.)
Make sure you have the correct
Transfers
button selected. Search for a specific domain using the search field above your domain list.
Transfers In
: Domains transferring
to
your GoDaddy account will show here.
Transfers Out
: Domains tranferring
from
your GoDaddy account will show here.
Choose an available tab to view domains in a particular category.
Each tab will group domains into categories, but the status of individual domains may vary. ||| Select
Confirm Cancel
to turn off auto-renew for that subscription.
Note:
If you’re canceling a domain with
Domain Protection
, we'll need to verify your identity. Select
Yes, Delete this product
, then select
Verify and delete
. We'll send a verification code via SMS text message or authenticator app if you've had
2-step verification
(2SV) enabled in your account for more than 24 hours. Otherwise, select
Send Password
to send a
one-time password
to the email address on your GoDaddy account.
Related step
If you change your mind, you can
manually renew your product
.
More info
If you can't turn off auto-renew for a domain, it's possible that the domain status is pending updates. Domains must be in active status before you can change the auto-renew setting.
To find out if you're eligible for a refund, contact
our GoDaddy Guides
for help.
Here's our
refund policy
.
Share this article ||| , then select
Ok
.
Review the confirmation message, then select
OK
.
Once the backorder is deleted, you'll be left with a credit that can be used to
backorder another domain
.
Related steps
Domain Broker Service: a buyer's roadmap
More info
Set up domain monitoring
Upgrade my monitored domain to a backorder
Share this article ||| Applies to:
Domains
,
Backorders & Monitoring
GoDaddy
Help
Cancel my domain backorders and monitoring
Note:
GoDaddy is
retiring the backorder and monitoring programs
in 2025. You can use existing backorder credits until they're removed from your account on
October 7, 2025
. Backorder credits
have not been available for purchase
since August 8, 2024.
You may decide a
monitored
or
backordered domain
no longer suits your needs, so you can cancel these services at any time within your account.
Go to your GoDaddy
My Products
page. You might be prompted to sign in.
Select
Domain Products
from your product list and then select
Manage
next to
Domain Backorder
.
Check the box next to the domain you're canceling, then select
Remove Selected
.
Check the box next to
Remove backorders and monitoring
, then select
Ok
.
Review the confirmation message, then select
OK
.
Once the backorder is deleted, you'll be left with a credit that can be used to
backorder another domain
.
Related steps",2.68,1.0,1.0,0.5
Config 1 - Naive,What is domain protection?,"According to the provided context, domain protection refers to features that help secure your domain by preventing unauthorized actions, such as transferring a domain or making DNS updates, and avoiding accidental domain expiration if your credit card on file expires.

The key points are:

- Domain protection goes beyond just keeping your contact information private (which is the purpose of Domain Privacy).
- Domain protection helps prevent unauthorized or malicious actions on your domain.
- It includes preventing unauthorized domain transfers or DNS updates.
- It also helps avoid accidental domain expiration if your payment method expires.

So in summary, domain protection is a set of features that help secure your domain and prevent unauthorized changes or accidental expiration.","domains helps protect your business and brand from unauthorized or malicious actions. ||| from our privacy partner, Domains By Proxy®. But protecting your domain is about more than keeping your contact info private. Domain Protection helps secure your domain by preventing unauthorized domain actions, such as transferring a domain or making DNS updates, and avoiding accidental domain expiration if your credit card on file expires.
Back to top
What are my Domain Protection options? ||| Applies to:
Domains
Domains
Help
What is Domain Protection?
Protecting your
GoDaddy domain
is an essential part of managing your online presence. You already protect your website with an SSL, so why not protect your domain, too? We have different levels of
Domain Protection
to keep your domain secure.
Select a question to see its answer:
How is Domain Protection different from Domain Privacy?
What are my Domain Protection options?
What is a high-risk action?
What is the Activity Log?",2.57,1.0,1.0,0.9
Config 2 - Optimized,What is domain protection?,"Based on the provided context, domain protection refers to GoDaddy's service that helps secure your domain by preventing unauthorized domain actions, such as transferring the domain, changing nameservers, or editing domain contact information. 

The key points about domain protection are:

- It is different from domain privacy, which just replaces your contact information with proxy details. Domain protection goes beyond that to secure your domain against unauthorized changes.

- GoDaddy offers two main domain protection options:
  1. Full Domain Protection - Prevents unauthorized changes and requires identity verification before certain ""high-risk"" actions can be taken.
  2. Ultimate Domain Protection - Includes all the Full Domain Protection features, plus protection against domains accidentally expiring due to failed billing.

- There is also a ""Domain Ownership Protection"" option for domain extensions that are not eligible for domain privacy.

- The Activity Log allows you to see what high-risk actions have been taken on your domains with Domain Protection.

- You can change your domain protection plan at any time, upgrading or downgrading the level of protection.

So in summary, domain protection is a GoDaddy service that helps secure your domain against unauthorized changes and accidental expiration.","Applies to:
Domains
Domains
Help
What is Domain Protection?
Protecting your
GoDaddy domain
is an essential part of managing your online presence. You already protect your website with an SSL, so why not protect your domain, too? We have different levels of
Domain Protection
to keep your domain secure.
Select a question to see its answer:
How is Domain Protection different from Domain Privacy?
What are my Domain Protection options?
What is a high-risk action?
What is the Activity Log?
Can I change my Domain Protection plan?
How will people be able to contact me?
How can I verify domain ownership?
How is Domain Protection different from Domain Privacy?
Domain Privacy
is automatically added to all eligible domains registered with GoDaddy. Domain Privacy will automatically replace their domain contact info
with substitute details ||| Domain Privacy
is automatically added to all eligible domains registered with GoDaddy. Domain Privacy will automatically replace their domain contact info
with substitute details
from our privacy partner, Domains By Proxy®. But protecting your domain is about more than keeping your contact info private. Domain Protection helps secure your domain by preventing unauthorized domain actions, such as transferring a domain or making DNS updates, and avoiding accidental domain expiration if your credit card on file expires.
Back to top
What are my Domain Protection options?
We currently have two options available for Domain Protection, so you can choose the level of protection that works best for you.
Full Domain Protection
: Prevent unauthorized domain actions, such as
transferring away
,
changing nameservers
and
editing domain contact info
. We'll make sure you're the one making those changes by notifying you and requiring identity verification before the action is completed. ||| .au, .com.au, .net.au, .org.au
.be
.ca
.de
.es, .com.es, .nom.es, .org.es
.eu
.fr
.gg
.in, .co.in, .net.in, .org.in, .firm.in, .gen.in, .ind.in
.it
.tk
.us
You might see some domains with other Domain Protection names, like Full Domain Privacy & Protection or Ultimate Domain Protection & Security. These are our legacy protection offerings, and you'll see them stick around until the associated domain is canceled, expires or the Domain Protection is downgraded.
Back to top
What is a high-risk action?
High-risk actions are categorized as actions that could have a negative impact on your domain or connected services, including transfers, DNS changes and turning off Domain Privacy. High-risk actions require approval before they can be completed when Domain Protection is active. Depending on your account settings, you may be prompted to enter a
one-time password
or
a 2-step verification code
.
These domain actions are considered high-risk and will prompt for identity verification. ||| Change nameservers
Add, edit, or delete DNS records
Add, edit, or delete domain or subdomain forwarding
Import DNS zone file
Edit custom hostnames
Apply a DNS template
What is the Activity Log?
The Activity Log is designed to help you see what high-risk actions were taken on your domains with Domain Protection. You can see what changes were made, when they were made, and the current status of those changes. View specific entries by filtering the Activity Log with options like
Date
,
Activity
, and
User
.
Can I change my Domain Protection plan?
Yes, you can change your protection plan at any time. You can
upgrade your protection
to gain additional security features, or
downgrade your protection
to remove features. Your eligible domains will always have
Domain Privacy
available, regardless of your Domain Protection plan.
Note:
Domains that are part of a bundle cannot change their Domain Protection plan.
Back to top
How will people be able to contact me? ||| ,
changing nameservers
and
editing domain contact info
. We'll make sure you're the one making those changes by notifying you and requiring identity verification before the action is completed.
Ultimate Domain Protection
: Rest assured that your domain is safe, even if renewal fails due to an invalid or expired payment method. Ultimate Domain Protection includes all the benefits of Full Domain Protection, and it also helps keep your domains from canceling unexpectedly because of failed billing. We'll hang on to your domain for 90 days if it accidentally expires, so you have time to
renew it manually
with no redemption fees.
Domain Ownership Protection
: Some domains aren't eligible for Domain Privacy, but they may still be eligible for Domain Protection. Domain Ownership Protection has the same coverage as our Ultimate Domain Protection and was created specifically to support these domain extensions.
.au, .com.au, .net.au, .org.au
.be
.ca
.de
.es, .com.es, .nom.es, .org.es
.eu
.fr
.gg",2.16,1.0,1.0,0.56
Config 3 - MultiQuery,What is domain protection?,"Based on the provided context, domain protection refers to a set of features offered by GoDaddy to help secure and protect your domain from unauthorized actions. The key points are:

- Domain Protection is different from Domain Privacy. Domain Privacy just replaces your contact information with substitute details, while Domain Protection helps prevent unauthorized domain actions like transfers, DNS changes, etc.

- GoDaddy offers two main levels of Domain Protection:

1. Full Domain Protection - Prevents unauthorized domain actions and requires identity verification before changes can be made.

2. Ultimate Domain Protection - Includes all the benefits of Full Domain Protection, and also helps keep your domain from accidentally expiring if your payment method fails.

- Domain Protection is available for certain domain extensions, like .com, .org, .net, etc. Some domains may have access to a ""Domain Ownership Protection"" plan instead.

- The Activity Log allows you to see the history of high-risk actions taken on your domains with Domain Protection.

So in summary, domain protection is a suite of security features offered by GoDaddy to help protect your domain from unauthorized changes or expiration.","Applies to:
Domains
Domains
Help
What is Domain Protection?
Protecting your
GoDaddy domain
is an essential part of managing your online presence. You already protect your website with an SSL, so why not protect your domain, too? We have different levels of
Domain Protection
to keep your domain secure.
Select a question to see its answer:
How is Domain Protection different from Domain Privacy?
What are my Domain Protection options?
What is a high-risk action?
What is the Activity Log?
Can I change my Domain Protection plan?
How will people be able to contact me?
How can I verify domain ownership?
How is Domain Protection different from Domain Privacy?
Domain Privacy
is automatically added to all eligible domains registered with GoDaddy. Domain Privacy will automatically replace their domain contact info
with substitute details ||| Domain Privacy
is automatically added to all eligible domains registered with GoDaddy. Domain Privacy will automatically replace their domain contact info
with substitute details
from our privacy partner, Domains By Proxy®. But protecting your domain is about more than keeping your contact info private. Domain Protection helps secure your domain by preventing unauthorized domain actions, such as transferring a domain or making DNS updates, and avoiding accidental domain expiration if your credit card on file expires.
Back to top
What are my Domain Protection options?
We currently have two options available for Domain Protection, so you can choose the level of protection that works best for you.
Full Domain Protection
: Prevent unauthorized domain actions, such as
transferring away
,
changing nameservers
and
editing domain contact info
. We'll make sure you're the one making those changes by notifying you and requiring identity verification before the action is completed. ||| .au, .com.au, .net.au, .org.au
.be
.ca
.de
.es, .com.es, .nom.es, .org.es
.eu
.fr
.gg
.in, .co.in, .net.in, .org.in, .firm.in, .gen.in, .ind.in
.it
.tk
.us
You might see some domains with other Domain Protection names, like Full Domain Privacy & Protection or Ultimate Domain Protection & Security. These are our legacy protection offerings, and you'll see them stick around until the associated domain is canceled, expires or the Domain Protection is downgraded.
Back to top
What is a high-risk action?
High-risk actions are categorized as actions that could have a negative impact on your domain or connected services, including transfers, DNS changes and turning off Domain Privacy. High-risk actions require approval before they can be completed when Domain Protection is active. Depending on your account settings, you may be prompted to enter a
one-time password
or
a 2-step verification code
.
These domain actions are considered high-risk and will prompt for identity verification. ||| Change nameservers
Add, edit, or delete DNS records
Add, edit, or delete domain or subdomain forwarding
Import DNS zone file
Edit custom hostnames
Apply a DNS template
What is the Activity Log?
The Activity Log is designed to help you see what high-risk actions were taken on your domains with Domain Protection. You can see what changes were made, when they were made, and the current status of those changes. View specific entries by filtering the Activity Log with options like
Date
,
Activity
, and
User
.
Can I change my Domain Protection plan?
Yes, you can change your protection plan at any time. You can
upgrade your protection
to gain additional security features, or
downgrade your protection
to remove features. Your eligible domains will always have
Domain Privacy
available, regardless of your Domain Protection plan.
Note:
Domains that are part of a bundle cannot change their Domain Protection plan.
Back to top
How will people be able to contact me? ||| ,
changing nameservers
and
editing domain contact info
. We'll make sure you're the one making those changes by notifying you and requiring identity verification before the action is completed.
Ultimate Domain Protection
: Rest assured that your domain is safe, even if renewal fails due to an invalid or expired payment method. Ultimate Domain Protection includes all the benefits of Full Domain Protection, and it also helps keep your domains from canceling unexpectedly because of failed billing. We'll hang on to your domain for 90 days if it accidentally expires, so you have time to
renew it manually
with no redemption fees.
Domain Ownership Protection
: Some domains aren't eligible for Domain Privacy, but they may still be eligible for Domain Protection. Domain Ownership Protection has the same coverage as our Ultimate Domain Protection and was created specifically to support these domain extensions.
.au, .com.au, .net.au, .org.au
.be
.ca
.de
.es, .com.es, .nom.es, .org.es
.eu
.fr
.gg",3.3,0.5,1.0,0.54
Config 1 - Naive,How do I close my GoDaddy account?,"Based on the provided context, here are the steps to close your GoDaddy account:

1. Delete all products associated with your account.
2. Wait at least 24 hours after deleting your products.
3. Go to your GoDaddy Contact Preferences and follow the steps to close your account.

If there are still products in your account, GoDaddy will remind you to delete those first, and you'll need to wait another 24 hours before trying to close the account.

The context states that account closures cannot be reversed and that certain data may be retained for legal purposes even after the account is closed.

If you have more than one GoDaddy account, the context advises to contact a GoDaddy Guide for assistance.","If you have cancelled all of your products, and no longer want an account,
close your GoDaddy account
.
Share this article ||| Account closures
can not
be reversed. Once we delete your data and information, there's no way to retrieve it.
Required:
Before closing your account, you must first
delete all products associated with your account
.
For GoDaddy Payments, you must follow the steps in
Remove GoDaddy Payments
. After all your products have been deleted, wait at least
24 hours
before following these steps.
When it’s been more than 24 hours since you deleted your products, go to your GoDaddy
Contact Preferences ||| If there are still products in your account, we'll remind you to delete those products. You must then wait at least 24 hours before trying to close your account.
Note:
To the extent necessary based on legitimate purposes to fulfill our corporate obligations, such as those necessary for record-keeping and other legal purposes, certain data may be retained in accordance with our document retention policies.
More info
If you have more than one GoDaddy account,
contact a GoDaddy Guide",1.69,1.0,1.0,0.967
